	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-38-4631-01A	0	0	0.273031536860518	0.0902366728446963	0	0.0280645167470394	0.0326918392674349	0.0233970570656877	0	0.0113524434244839	0	0.0182208878330379	0	0.211713527676808	0.101998716070812	0.119573518735738	0	0	0	0	0.0094795086745592	0.0802397747991844	0	0.234422970383108	0.991163816084132
TCGA-38-4632-01A	0.033790286321558	0	0	0	0	0.130296558302628	0.0713166886899222	0.00454919939421739	0.0209946441561206	0.0607740601984636	0.0113619208104147	0	0.0121866713937599	0	0.065419305639927	0.258718981346651	0.212614032280453	0.0523500380488301	0.0556823635738239	0	0	0.00994524984323095	0	0.372463097338551	0.928513138667911
TCGA-38-6178-01A	0.0338992863474911	0	0.134583537737053	0.0519824469529858	0	0.271782588779487	0.0084265915860816	0	0.0131528191310908	0	0.000169336474576969	0.00648730009832315	0.00357019159087036	0.067860525235239	0.0526822335412323	0.177649362654638	0.0076976648006069	0.0944728121104459	0.072981044133106	0	0	0.00260225882677207	0	0.243493798661455	0.980359847407259
TCGA-38-7271-01A	0	0.158015768742885	0.062027796039277	0.13134757879431	0	0.138620627631836	0.0118145329792605	0	0.0804040200595067	0.0585298157704555	0	0.0121655126721694	0	0.125808786136705	0.0245854238869554	0.114719553639117	0.0243919953654955	0.0131079493611263	0.042103147874745	0	0	0.00235749104615638	0	0.364896274783824	0.931381373135151
TCGA-38-A44F-01A	0.0577983000339693	0.0257303700268504	0.124575160161711	0.0429820358924351	0	0.126102357714758	0	0.0468442406654784	0.061723773119914	0	0	0.0185441265446457	0.00816418712746816	0.0970405222530502	0.131560946154067	0.0942110521859136	0.0903040752310454	0.00165103001969265	0.0654327110705613	0	0	0.0073351117984389	0	0.448314170010934	0.894684002754429
TCGA-44-2655-01A	0.0477037770466359	0.0261211246433169	0.0951604529569164	0.0171845680182449	0	0.225774440634442	0	0.0388252746509366	0.0259672149139275	0	0	0.0236728498563228	0.0101098518179763	0	0.0236136660633288	0.202034748395736	0.1688049671236	0.0250782322541459	0.0589519536028745	0	0	0.0109968780215956	0	0.310092673964866	0.95230698211622
TCGA-44-2656-01A	0.0177596549967788	0	0.115159508289681	0.249564952348913	0	0.0402653563371836	0.0551105621704143	0.0161791206665949	0.00532575687801752	0	0.00280602610388656	0	0.026922101867158	0.0383483333504343	0.125278207211037	0.166497115955555	0.0682684632470317	0	0.0586172242507181	0	0.00866766645301688	0.00522994987357946	0	0.53601264837004	0.852887903697061
TCGA-44-2657-01A	0.092706422792038	0	0.222542202376127	0.187355207810367	0	0	0.0374540844456488	0.0449118736155302	0.0462694592466947	0.024253548594728	0	0.0229487331854414	0	0.0555126639687555	0.0546007514138762	0.1058202479741	0.0316287781833764	0.00544360909599395	0.0630176731379122	0	0	0.00553474415941036	0	0.47311549840524	0.887499656182189
TCGA-44-2659-01A	0.00549152852797204	0	0.171729756302897	0.13361127563191	0	0.217191390461265	0.000452368196044115	0.022236902147592	0.0524770047915741	0	0	0.0385388861093204	0.0051591658252482	0.0121103988345913	0.0866709557982692	0.116147454546068	0.0322609084297416	0	0.10026371933695	0	0	0.00565828506055659	0	0.334788180659416	0.944013335656439
TCGA-44-2661-01A	0	0.010128728802602	0.108471142656703	0.0787462483589182	0	0.127279194478813	0.00934575829264662	0	0.0187320664165272	0.0446117143049772	0	0.0511419364788852	0.0323991772133657	0	0.0698826972400768	0.172840398200024	0.113395093667071	0	0.116867761849907	0	0.0409744170392573	0.00518366500022675	0	0.567484560404911	0.844098669673262
TCGA-44-2662-01A	0.00737707821173094	0	0.0672210538465183	0	0	0.0878127396462398	0.0306714023721737	0	0	0.027145806087436	0	0.0144752723170878	0.115163294965561	0.281394839470319	0.0131275761308498	0.123330001998724	0.0773727059354238	0.0165555025435257	0.0583697929437454	0	0.0216211549518698	0.0583617785787954	0	0.290700988774976	0.974343063227344
TCGA-44-2665-01A	0	0	0.0064623907903954	0.00837479056123019	0	0.187879035187079	0.0116445375384804	0	0.00654932351387147	0	0.00247609692871112	0.000492698876228097	0.0153215312949347	0.249228246035854	0.00913228070146724	0.231836090130931	0.147101663965876	0.0576161166589725	0.0649667097026459	0	0	0.000918488113323129	0	0.278054539894493	0.985022829101553
TCGA-44-2666-01A	0.0257094694943192	0	0.11094450563953	0.0494269659466742	0	0.234956965958066	0	0	0.0101888346764879	0	0	0.0332479437669534	0.0113250288758752	0.00495282082992725	0	0.102156648962744	0.0425289329820808	0.0653828635532659	0.255902552943323	0	0.0451188950220894	0.00815757134866337	0	0.303263521125689	0.957327308364164
TCGA-44-2668-01A	0.0186767908895004	0	0	0.0731186674243425	0	0.108665812491023	0.11182524184764	0	0.00572956971640272	0	0.0167565633624254	0	0	0.352563747362785	0.0772662520203464	0.0793293353403281	0.00671364503622119	0	0	0.119121127072417	0	0.030233247436569	0	0.455901825428396	0.892160684163676
TCGA-44-3396-01A	0.0253825761201178	0	0.152148315570209	0.0706321850305935	0	0.164997327970675	0.0344250700062819	0	0	0	0	0.00176547270016228	0.00528277373675141	0.244010228797608	0.0896827367296019	0.123472617643439	0.0149476018151115	0	0	0.044436446956612	0	0.0288166469228361	0	0.423596472418522	0.90539781292661
TCGA-44-3398-01A	0.016488264332925	0	0.0593402622434787	0.0412595849906572	0	0.155790382345072	0.0110847316146813	0	0.00133579385831481	0	0	0.0489710798672611	0.0158345847566305	0.0136166007826449	0.0160771592180947	0.0679726156232521	0.371429018313288	0.0713422965466503	0.0810132776778299	0	0.0121064368236547	0.0163379110055648	0	0.24149441874889	0.987262596267047
TCGA-44-3917-01A	0.043326898864844	0	0.106107468363613	0.114716298445228	0	0.0393828642855411	0.195993595877038	0.0179305217402943	0	0.0177289050066762	0.0126453768027014	0	0.0220286381194322	0.0181992781596142	0.0594768861979617	0.198322931552563	0.078729848215929	0	0.0483362671116197	0	0.0093136077487728	0.0177606135081718	0.34	0.0587727637406746	1.04091627659662
TCGA-44-3918-01A	0	0.0321086842083249	0.0752600647515401	0.00609086336662176	0	0.245259312797124	0.0694841790084688	0	0	0.0403704866631344	0	0.0274154570021366	0	0	0.116392029233971	0.255710651100301	0.0259677301885167	0.0368827710592333	0.0573047642210917	0	0.00391496667910706	0.00783803972042962	0	0.393846786349247	0.918648720775922
TCGA-44-3919-01A	0.0214214792454436	0	0.0995286323829097	0.052565908225106	0	0.116902951183037	0.0059474439864723	0.0390218912271613	0.0402401460393781	0.00427419457510769	0	0.0410577696631948	0	0.0852267324758475	0.128509657306761	0.132929437771081	0.121154692263022	0	0.107109613207473	0	0	0.00410945044800559	0	0.596296093805465	0.824480910802894
TCGA-44-4112-01A	0	0	0.154047957351023	0.0689470969519542	0	0.169485149092047	0.0202054138777208	0.000820996323203857	0	0.0106707928360711	0	0.0328846760216682	0.0122123361992328	0.0681402404940211	0.0446520565067436	0.200142640345685	0.0464882077552516	0.0784556119337106	0.0739513577647168	0	0	0.0188954665469501	0	0.372324858220196	0.927523383449008
